Diamondback_request,Reporting_type,Primary_role,Positive_test_result_date,No_of_cases
Part C,Self Reported,Faculty,30-Sep-22,1
Part C,Self Reported,Staff,30-Sep-22,1
Part C,Self Reported,Faculty,29-Sep-22,2
Part C,Self Reported,Staff,29-Sep-22,3
Part C,Self Reported,Student,29-Sep-22,2
Part C,Self Reported,Student,28-Sep-22,3
Part C,Self Reported,Staff,28-Sep-22,4
Part C,Self Reported,Faculty,28-Sep-22,3
Part C,Self Reported,Faculty,27-Sep-22,1
Part C,Self Reported,Student,27-Sep-22,7
Part C,Self Reported,Staff,27-Sep-22,4
Part C,Self Reported,Staff,26-Sep-22,3
Part C,Self Reported,Student,26-Sep-22,6
Part C,Self Reported,Faculty,26-Sep-22,1
Part C,Self Reported,Faculty,25-Sep-22,3
Part C,Self Reported,Student,25-Sep-22,6
Part C,Self Reported,Staff,25-Sep-22,1
Part C,Self Reported,Student,24-Sep-22,5
Part C,Self Reported,Faculty,24-Sep-22,2
Part C,Self Reported,Staff,24-Sep-22,1
Part C,Self Reported,Faculty,23-Sep-22,1
Part C,Self Reported,Student,23-Sep-22,4
Part C,Self Reported,Faculty,22-Sep-22,1
Part C,Self Reported,Student,22-Sep-22,6
Part C,Self Reported,Staff,22-Sep-22,8
Part C,Self Reported,Student,21-Sep-22,11
Part C,Self Reported,Staff,21-Sep-22,4
Part C,Self Reported,Faculty,21-Sep-22,1
Part C,Self Reported,Student,20-Sep-22,19
Part C,Self Reported,Faculty,20-Sep-22,1
Part C,Self Reported,Staff,20-Sep-22,4
Part C,Self Reported,Faculty,19-Sep-22,3
Part C,Self Reported,Staff,19-Sep-22,5
Part C,Self Reported,Student,19-Sep-22,19
Part C,Self Reported,Faculty,18-Sep-22,2
Part C,Self Reported,Student,18-Sep-22,19
Part C,Self Reported,Staff,18-Sep-22,5
Part C,Self Reported,Staff,17-Sep-22,4
Part C,Self Reported,Student,17-Sep-22,14
Part C,Self Reported,Faculty,17-Sep-22,2
Part C,Self Reported,Staff,16-Sep-22,5
Part C,Self Reported,Student,16-Sep-22,22
Part C,Self Reported,Faculty,16-Sep-22,3
Part C,Self Reported,Faculty,15-Sep-22,2
Part C,Self Reported,Student,15-Sep-22,32
Part C,Self Reported,Staff,15-Sep-22,2
Part C,Self Reported,Student,14-Sep-22,39
Part C,Self Reported,Faculty,14-Sep-22,3
Part C,Self Reported,Staff,14-Sep-22,10
Part C,Self Reported,Faculty,13-Sep-22,3
